"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5003","140","poc_ogpm_eps_1","eps_1","3.7232177734375"
"0.05","5003","150","poc_ogpm_eps_1","eps_1","3.677308177947998"
"0.05","5003","160","poc_ogpm_eps_1","eps_1","3.88210711479187"
"0.05","5003","170","poc_ogpm_eps_1","eps_1","3.9276256561279297"
"0.05","5003","180","poc_ogpm_eps_1","eps_1","3.729176330566406"
"0.05","5003","190","poc_ogpm_eps_1","eps_1","3.7623104095458983"
"0.05","5003","199","poc_ogpm_eps_1","eps_1","3.901478576660156"
"0.05","5003","0","oort_official_ogpm_eps_1","eps_1","2.7569111824035644"
"0.05","5003","10","oort_official_ogpm_eps_1","eps_1","2.7811026573181152"
"0.05","5003","20","oort_official_ogpm_eps_1","eps_1","2.7503894805908202"
"0.05","5003","30","oort_official_ogpm_eps_1","eps_1","2.9009817123413084"
"0.05","5003","40","oort_official_ogpm_eps_1","eps_1","4.113949155807495"
"0.05","5003","50","oort_official_ogpm_eps_1","eps_1","3.989748477935791"
"0.05","5003","60","oort_official_ogpm_eps_1","eps_1","4.0599815368652346"
"0.05","5003","70","oort_official_ogpm_eps_1","eps_1","3.9217628955841066"
"0.05","5003","80","oort_official_ogpm_eps_1","eps_1","4.019702529907226"
"0.05","5003","90","oort_official_ogpm_eps_1","eps_1","3.828541564941406"
"0.05","5003","100","oort_official_ogpm_eps_1","eps_1","3.8915679931640623"
"0.05","5003","110","oort_official_ogpm_eps_1","eps_1","4.0288959503173825"
"0.05","5003","120","oort_official_ogpm_eps_1","eps_1","3.8835819244384764"
"0.05","5003","130","oort_official_ogpm_eps_1","eps_1","3.779399108886719"
"0.05","5003","140","oort_official_ogpm_eps_1","eps_1","3.68551025390625"
"0.05","5003","150","oort_official_ogpm_eps_1","eps_1","3.6745837211608885"
"0.05","5003","160","oort_official_ogpm_eps_1","eps_1","3.850979232788086"
"0.05","5003","170","oort_official_ogpm_eps_1","eps_1","3.9172210693359375"
"0.05","5003","180","oort_official_ogpm_eps_1","eps_1","3.763581085205078"
"0.05","5003","190","oort_official_ogpm_eps_1","eps_1","3.743270492553711"
"0.05","5003","199","oort_official_ogpm_eps_1","eps_1","3.9207008361816404"
"0.05","5003","0","hics2024_source_adapted_ogpm_eps_1","eps_1","2.7569111824035644"
"0.05","5003","10","hics2024_source_adapted_ogpm_eps_1","eps_1","2.7811026573181152"
